ein,organization_name,dba_name,entity_type, total_participants ,plan_count,mail_us_address1,mail_us_address2,mail_us_city,mail_us_state,mail_us_zip,phone_num,web site domain,Chief Executive Officer/CEO,Chief Financial Officer/CFO,President,Vice President/VP ,Secretary Treasurer,Treasurer,Executive Vice President,Executive Director,Director of Finance,Chief Counsel,Deputy Chief Counsel,Preisent & CEO,email domain
952110997,"BOARD OF TRUSTEES, SAG-AFTRA HEALTH PLAN",,Taft-Hartley Trust,"43,213",1,3601 WEST OLIVE AVENUE,SUITE 200,BURBANK,CA,91505,8189549400,,,,,,,,,,,,,,
206673883,BOARD OF TRUSTEES OF LUCENT SUPPLEMENTAL BENEFITS TRUST FOR FORMERLY R,,Taft-Hartley Trust,"40,749",1,"600 MOUNTAIN AVENUE, ROOM 2A-352",ATTN ARTO SIRVIO,MURRAY HILL,NJ,7974,9085821342,,,,,,,,,,,,,,
916058475,"BOARD OF TRUSTEES, SOUND HEALTH & WELLNESS TRUST",,Taft-Hartley Trust,"40,419",1,"11724 NE 195TH STREET, SUITE 300",,BOTHELL,WA,98011,2062824100,,,,,,,,,,,,,,
10479776,MAINE EDUCATION ASSOCIATION BENEFITS TRUST,,Taft-Hartley Trust,"39,342",1,35 COMMUNITY DRIVE,,AUGUSTA,ME,4330,2076225866,,,,,,,,,,,,,,
562489386,BOARD OF TRUSTEES OF THE HEALTH REIMB ACCT FUND OF THE ELEC IND,,Taft-Hartley Trust,"39,060",1,158-11 HARRY VAN ARSDALE JR. AVENUE,,FLUSHING,NY,11365,7185912000,,,,,,,,,,,,,,
232790911,NATIONAL ELEVATOR INDUSTRY HEALTH BENEFIT PLAN BOARD OF TRUSTEES,,Taft-Hartley Trust,"38,629",1,"19 CAMPUS BLVD, SUITE 200",,NEWTOWN SQUARE,PA,19073,8005234702,,,,,,,,,,,,,,
466029223,SSM HEALTH CARE,,Taft-Hartley Trust,"37,269",2,10101 WOODFIELD LANE,,ST. LOUIS,MO,63132,3149947800,,,,,,,,,,,,,,
753198514,BOARD OF TRUSTEES OF NECA/IBEW FAMILY MEDICAL CARE TRUST FUND,,Taft-Hartley Trust,"37,081",1,"2400 RESEARCH BOULEVARD, SUITE 500",,ROCKVILLE,MD,20850,3015564300,,,,,,,,,,,,,,
237333434,BOARD OF TRUSTEES I.A.T.S.E. NATIONAL HEALTH & WELFARE FUND,,Taft-Hartley Trust,"36,275",1,"417 FIFTH AVENUE, 3RD FLOOR",,NEW YORK,NY,10016,2125809092,,,,,,,,,,,,,,
135562308,NEW YORK UNIVERSITY,,Taft-Hartley Trust,"35,656",4,105 E. 17TH STREET,4TH FLOOR HUMAN RESOURCES,NEW YORK,NY,10003,2129925465,,,,,,,,,,,,,,
133968546,MANAGEMENT-ILA MANAGED HEALTH,,Taft-Hartley Trust,"34,594",1,111 BROADWAY - 5TH FLOOR,,NEW YORK,NY,10006,2127665700,,,,,,,,,,,,,,
956042873,"JOINT BOARD OF TRUSTEES, SOUTHWEST CARPENTERS HEALTH AND WELFARE TRUST",,Taft-Hartley Trust,"33,925",1,533 SOUTH FREMONT AVENUE,,LOS ANGELES,CA,90071,2133868590,,,,,,,,,,,,,,
956832043,"BOARD OF TRUSTEES, ENTERTAINMENT INDUSTRY FLEX PLAN",,Taft-Hartley Trust,"33,765",1,844 SEWARD ST,,LOS ANGELES,CA,90038,3239938810,,,,,,,,,,,,,,
222405279,RWJBARNABAS HEALTH,,Taft-Hartley Trust,"32,021",2,379 CAMPUS DRIVE,,SOMERSET,NJ,8873,9733224400,,,,,,,,,,,,,,
136126923,BOARD OF TRUSTEES NEW YORK HOTEL TRADES COUNCIL &,"HOTEL ASSOCIATION OF NEW YORK CITY, INC.",Taft-Hartley Trust,"31,266",1,305 WEST 44TH STREET,,NEW YORK,NY,10036,2125866400,,,,,,,,,,,,,,
130891045,"BD OF TR OF THE PENSION, HOSP & BENEFIT PL OF THE ELEC IND-WELFARE",,Taft-Hartley Trust,"29,837",1,158-11 HARRY VAN ARSDALE JR. AVENUE,,FLUSHING,NY,11365,7185912000,,,,,,,,,,,,,,
941234856,CARPENTERS HEALTH AND WELFARE TRUST FUND FOR NORTHERN CALIFORNIA,,Taft-Hartley Trust,"29,683",1,265 HEGENBERGER ROAD,,OAKLAND,CA,94621,5106330333,,,,,,,,,,,,,,
134129368,BOARD OF TRUSTEES OF 1199SEIU NATL BENEFIT FND FOR HOME CARE EMPLOYEE,,Taft-Hartley Trust,"29,578",1,P.O. BOX 842,,NEW YORK,NY,10108,6464736336,,,,,,,,,,,,,,
941235152,BOARD OF TRUSTEES LABORERS HEALTH,WELFARE TRUST FUND NOR. CAL.,Taft-Hartley Trust,"28,738",1,220 CAMPUS LANE,,FAIRFIELD,CA,94534,7078642800,,,,,,,,,,,,,,
940304228,"MUFG UNION BANK, N.A.",,Taft-Hartley Trust,"28,370",2,1251 AVENUE OF THE AMERICAS,43RD FLOOR,NEW YORK,NY,10020,2127824698,,,,,,,,,,,,,,
363261413,ALLINA HEALTH SYSTEM,,Taft-Hartley Trust,"27,976",1,PO BOX 1469,,MINNEAPOLIS,MN,55440,6122624688,,,,,,,,,,,,,,
942356343,"BOARD OF TRUSTEES, HEALTH CARE EMPLOYEES/EMPLOYER",DENTAL AND MEDICAL TRUST,Taft-Hartley Trust,"27,360",1,"6200 VILLAGE PARKWAY, 2ND FLR",,DUBLIN,CA,94568,9258031880,,,,,,,,,,,,,,
530227042,"JOINT BOARD OF TRUSTEES, BAKERY & CONFECTIONERY UNION & INDUSTRY",INTERNATIONAL HEALTH BENEFITS FUND,Taft-Hartley Trust,"27,294",1,10401 CONNECTICUT AVENUE,,KENSINGTON,MD,20895,3014683750,,,,,,,,,,,,,,
232164794,GEISINGER SYSTEM SERVICES,,Taft-Hartley Trust,"27,064",1,"100 N ACADEMY AVE, MC 49-70",,DANVILLE,PA,17822,5702716640,,,,,,,,,,,,,,
521036457,TRUSTEES OF NAT'L STABILIZATION AGREEMENT OF THE SHEET METAL INDSTRY T,,Taft-Hartley Trust,"26,943",2,"8403 ARLINGTON BLVD., SUITE 310",,FAIRFAX,VA,22031,7037397250,,,,,,,,,,,,,,
236411794,G.M.P.-EMPLOYERS RETIREE TRUST,,Taft-Hartley Trust,"26,921",1,"5245 BIG PINE WAY, S.E.",,FORT MYERS,FL,33907,2399366242,,,,,,,,,,,,,,
346726788,OHIO AFSCME CARE PLAN,,Taft-Hartley Trust,"26,595",1,1603 EAST 27TH STREET,,CLEVELAND,OH,44114,2167816420,,,,,,,,,,,,,,
946068578,TRUSTEES OF ILWU-PMA WELFARE PLAN,,Taft-Hartley Trust,"25,810",1,"1188 FRANKLIN STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94109,4156738500,,,,,,,,,,,,,,
530116705,NAVY FEDERAL CREDIT UNION,,Taft-Hartley Trust,"24,456",2,P.O. BOX 3400 820 FOLLIN LANE,PO BOX 3400,MERRIFIELD,VA,22119,7032063276,,,,,,,,,,,,,,
66069081,TRUSTEES AMALGAMATED WELFARE TRUST FUND LOCAL 371,,Taft-Hartley Trust,"23,972",1,"290 POST ROAD WEST, P.O. BOX 470",,WESTPORT,CT,68810,2032264751,,,,,,,,,,,,,,
201842198,SEIU HEALTHCARE NW HEALTH BENEFITS TRUST,BENEFITS TRUST,Taft-Hartley Trust,"23,729",1,215 COLUMBIA ST.,SUITE 300,SEATTLE,WA,98104,4257717359,,,,,,,,,,,,,,
916034673,"BOARD OF TRUSTEES, WASHINGTON TEAMSTERS WELFARE TRUST",,Taft-Hartley Trust,"23,639",1,2323 EASTLAKE AVE E,,SEATTLE,WA,98102,2063294900,,,,,,,,,,,,,,
516146048,"BOARD OF TRUSTEES, LABORERS HEALTH AND WELFARE TRUST",FUND FOR SOUTHERN CALIFORNIA,Taft-Hartley Trust,"23,530",1,4399 SANTA ANITA AVE STE 200,,EL MONTE,CA,91731,6262793000,,,,,,,,,,,,,,
135673101,"NEW YORK CITY DISTRICT COUNCIL 37, AFSCME, AFL-CIO",,Taft-Hartley Trust,"23,404",1,125 BARCLAY STREET,,NEW YORK,NY,10007,2128151427,,,,,,,,,,,,,,
136125570,BOARD OF TRUSTEES OF 1199SEIU GREATER NEW YORK BENEFIT FUND,,Taft-Hartley Trust,"22,997",1,P.O. BOX 842,,NEW YORK,NY,10108,6464736336,,,,,,,,,,,,,,
521888497,"BOARD OF TRUSTEES, UNITED MINE WORK ERS OF AMERICA 1993 BENEFIT PLAN",,Taft-Hartley Trust,"22,981",1,2121 K STREET N.W.,SUITE 350,WASHINGTON,DC,20037,2025212200,,,,,,,,,,,,,,
581283466,BOARD OF TRUSTEES UFCW UNIONS & EMPLOYERS HEALTH & WELFARE FUND,,Taft-Hartley Trust,"22,130",1,1740 PHOENIX PKWY,,ATLANTA,GA,30349,7709979910,,,,,,,,,,,,,,
46374357,BOARD OF TRUSTEES NEW ENGLAND CARPENTERS HEALTH BENEFITS FUND,,Taft-Hartley Trust,"21,854",1,350 FORDHAM ROAD,,WILMINGTON,MA,1887,9786941000,,,,,,,,,,,,,,
521036399,NATIONAL CARRIERS' CONFERENCE COMMITTEE,,Taft-Hartley Trust,"21,798",2,"251 - 18TH STREET, SOUTH, SUITE 750",,ARLINGTON,VA,22202,5713367600,,,,,,,,,,,,,,
530215881,NATIONAL AUTO SPRINKLER WELFARE FUND JOINT BOARD OF TRUSTEES,,Taft-Hartley Trust,"21,675",1,8000 CORPORATE DRIVE,,LANDOVER,MD,20785,3015771700,,,,,,,,,,,,,,
135615576,BOARD OF TRUSTEES OF NYCDCC WELFARE FUND,,Taft-Hartley Trust,"21,537",1,395 HUDSON STREET,,NEW YORK,NY,10014,2123667300,,,,,,,,,,,,,,
366597428,BOARD OF TRUSTEES OF CHICAGO REGION COUNCIL OF CARPENTERS WELFARE FUND,,Taft-Hartley Trust,"21,404",1,12 E. ERIE STREET,,CHICAGO,IL,60611,3127879455,,,,,,,,,,,,,,
270377468,FLEX N GATE VENTRA GREENWICH,,Taft-Hartley Trust,"20,736",4,1306 E UNIVERSITY AVENUE,,URBANA,IL,61802,2173846600,,,,,,,,,,,,,,
237176373,JOINT BOARD OF TRUSTEES OF UFCW LOCAL 1500 WELFARE FUND,,Taft-Hartley Trust,"20,288",1,425 MERRICK AVENUE,,WESTBURY,NY,11590,5162141300,,,,,,,,,,,,,,
226032181,BD OF TRUSTEES OF THE NORTHEAST CARPENTERS HEALTH FUND - NY,,Taft-Hartley Trust,"20,242",3,"PLAZA II, RARITAN CTR. PO BOX 7818",,EDISON,NJ,8818,7324173900,,,,,,,,,,,,,,
431622970,TRUSTEES OF CARPENTERS BENEFIT PLANS OF ST. LOUIS,,Taft-Hartley Trust,"19,367",1,1401 HAMPTON AVENUE,,ST. LOUIS,MO,63139,3146444800,,,,,,,,,,,,,,
916065367,RETIREE'S WELFARE TRUST,,Taft-Hartley Trust,"19,069",1,2323 EASTLAKE AVENUE EAST,,SEATTLE,WA,98102,2063294900,,,,,,,,,,,,,,
237336001,BOARD OF TRUSTEES- NEW YORK STATE NURSES ASSOCIATION BENEFITS FUND,,Taft-Hartley Trust,"18,926",1,PO BOX 12430,,ALBANY,NY,12212,5188699501,,,,,,,,,,,,,,
942848389,BOARD OF TRUSTEES OF TEAMSTERS BENEFIT TRUST,,Taft-Hartley Trust,"18,772",1,POST OFFICE BOX 5820,,FREMONT,CA,94537,5107964676,,,,,,,,,,,,,,
366090694,BOARD OF TRUSTEES OF BOILERMAKERS,NATIONAL HEALTH & WELFARE FUND,Taft-Hartley Trust,"18,678",1,754 MINNESOTA AVENUE,SUITE 326,KANSAS CITY,KS,66101,9133426555,,,,,,,,,,,,,,
946073033,BOARD OF TRUSTEES NORTHERN,CALIFORNIA GENERAL TEAMSTERS,Taft-Hartley Trust,"18,319",1,P.O. BOX 2300,,STOCKTON,CA,95201,2099405100,,,,,,,,,,,,,,
916029049,"BOARD OF TRUSTEES, CARPENTERS HEALTH AND SECURITY",PLAN OF WESTERN WASHINGTON,Taft-Hartley Trust,"17,896",1,2200 SIXTH AVE STE 300,,SEATTLE,WA,98121,2064416514,,,,,,,,,,,,,,
942784001,"BOARD OF TRUSTEEES, OPERATING ENGINEERS HEALTH",AND WELFARE TRUST FUND,Taft-Hartley Trust,"17,878",1,1600 HARBOR BAY PKWY STE 200,,ALAMEDA,CA,94502,5106718800,,,,,,,,,,,,,,
956995453,"BOARD OF TRUSTEES, CALIFORNIA ASSO OF PROFESSIONAL EMPLOYEES BENEFIT",,Taft-Hartley Trust,"17,844",1,3018 E COLORADO BLVD STE 200,,PASADENA,CA,91107,6262430340,,,,,,,,,,,,,,
204570305,BOARD OF TRUSTEES OF THE SEIU LOCAL 2015 LONG-TERM CARE WORKERS HEALTH,,Taft-Hartley Trust,"17,531",1,2910 BEVERLY BOULEVARD,,LOS ANGELES,CA,90057,8776985829,,,,,,,,,,,,,,
132626465,UNION PACIFIC CORPORATION,,Taft-Hartley Trust,"17,510",2,1400 DOUGLAS STREET STOP 1620,,OMAHA,NE,68179,4025445000,,,,,,,,,,,,,,
237244353,"BOARD OF TRUSTEES, UNITED FOOD AND COMMERCIAL",WORKERS AND EMPLOYERS ARIZONA,Taft-Hartley Trust,"17,398",1,2550 W UNION HILLS DR STE 290,,PHOENIX,AZ,85027,6023240545,,,,,,,,,,,,,,
262336180,TRUSTEES OF SEIU IL HOME CARE & CHILD CARE FUND,,Taft-Hartley Trust,"17,327",1,"2229 S. HALSTED STREET, SUITE 122",,CHICAGO,IL,60608,7733859300,,,,,,,,,,,,,,
381328578,TRUSTEES OF MICHIGAN CONFERENCE OF TEAMSTERS WELFARE FUND,,Taft-Hartley Trust,"17,244",2,2700 TRUMBULL AVENUE,,DETROIT,MI,48216,3139642400,,,,,,,,,,,,,,
346726563,UNITED FOOD & COMMERCIAL WORKERS UNION EMPLOYER HEALTH & WELFARE FU,,Taft-Hartley Trust,"17,035",1,9199 MARKET PLACE SUITE 1,,BROADVIEW HEIGHTS,OH,44147,2162412828,,,,,,,,,,,,,,
956034886,"BOARD OF TRUSTEES, OPERATING ENGINEERS HEALTH AND",WELFARE FUND,Taft-Hartley Trust,"17,020",1,100 CORSON STREET,,PASADENA,CA,91103,6263561000,,,,,,,,,,,,,,
956060502,BOARD OF TRUSTEES,TEAMSTERS' MISCELLANEOUS SECURITY FUND,Taft-Hartley Trust,"16,404",1,225 S LAKE AVE STE 1200,,PASADENA,CA,91101,6264636012,,,,,,,,,,,,,,
116490308,BOARD OF TRUSTEES LOCAL 713 HEALTH & WELFARE FUND,,Taft-Hartley Trust,"16,111",1,400 GARDEN CITY PLAZA STE 106,,GARDEN CITY,NY,11530,5167415564,,,,,,,,,,,,,,
42605866,UFCW AND PARTICIPATING EMPLOYERS INTERSTATE HEALTH,WELFARE FUND,Taft-Hartley Trust,"16,076",1,40 COMMERCIAL WAY,,EAST PROVIDENCE,RI,2914,4014354700,,,,,,,,,,,,,,
521036978,BOARD OF TRUSTEES OF THE FELRA AND UFCW VEBA FUND,,Taft-Hartley Trust,"15,773",1,911 RIDGEBROOK ROAD,,SPARKS,MD,21152,4106836500,,,,,,,,,,,,,,
416024791,BOARD OF TRUSTEES OF CARPENTERS & JOINERS WELFARE FUND,,Taft-Hartley Trust,"15,766",1,"3001 METRO DRIVE, SUITE 500",,BLOOMINGTON,MN,55425,9528540795,,,,,,,,,,,,,,
356042362,BOARD OF TRUSTEES IN/KY/OH RGNL COUNCIL OF CARPENTERS WELFARE FUND,,Taft-Hartley Trust,"15,606",1,"700 TOWER DRIVE, SUITE 300",,TROY,MI,48098,2488139800,,,,,,,,,,,,,,
943217575,"BOARD OF TRUSTEES, LABOR ALLIANCE MANAGED TRUST",FUND,Taft-Hartley Trust,"15,554",1,"1181 QUARRY LANE, SUITE 400",,PLEASANTON,CA,94566,9254263553,,,,,,,,,,,,,,
590624458,UNIVERSITY OF MIAMI,BENEFITS ADMINISTRATION,Taft-Hartley Trust,"15,543",1,P.O. BOX 248106,,CORAL GABLES,FL,33124,3052845090,,,,,,,,,,,,,,
473769205,PENN STATE HEALTH,,Taft-Hartley Trust,"15,336",1,500 UNIVERSITY DRIVE MC H162,MC H162,HERSHEY,PA,17033,7175313060,,,,,,,,,,,,,,
362167817,NORTHWESTERN UNIVERSITY,,Taft-Hartley Trust,"15,171",1,720 UNIVERSITY PLACE,,EVANSTON,IL,60208,8474918588,,,,,,,,,,,,,,
366109395,BOARD OF TRUSTEES MIDWEST OPERATING ENGINEERS WELFARE FUND,,Taft-Hartley Trust,"14,816",1,6150 JOLIET ROAD,,COUNTRYSIDE,IL,60525,7084827300,,,,,,,,,,,,,,
686254830,"HEALTH PROFESSIONALS AND ALLIED EMPLOYEE AFT/AFL-CIO, RETIREE MEDICAL",,Taft-Hartley Trust,"14,739",1,140 SYLVAN AVENUE,SUITE 303,ENGLEWOOD CLIFFS,NJ,7632,2019478000,,,,,,,,,,,,,,
956035138,"BOARD OF TRUSTEES, SANTA MONICA UNITE HERE HEALTH",BENEFIT PLAN,Taft-Hartley Trust,"14,475",1,1200 WILSHIRE BLVD FL 5,,LOS ANGELES,CA,90017,5624635000,,,,,,,,,,,,,,
956042868,"BOARD OF TRUSTEES, CALIFORNIA IRONWORKERS FIELD WELFARE PLAN",,Taft-Hartley Trust,"14,318",1,"131 N. EL MOLINO AVENUE, SUITE 330",,PASADENA,CA,91101,6267927337,,,,,,,,,,,,,,
756232407,BOARD OF TRUSTEES OF SOUTH CENTRAL UFCW,,Taft-Hartley Trust,"14,309",1,"1800 PHOENIX BLVD., SUITE 310",,ATLANTA,GA,30349,7709979910,,,,,,,,,,,,,,
237015120,TRUSTEES OF OPERATING ENGINEERS #49 HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"14,238",1,"3001 METRO DRIVE, SUITE 500",,BLOOMINGTON,MN,55425,9528540795,,,,,,,,,,,,,,
383899873,"LINEAGE LOGISTICS, LLC",,Taft-Hartley Trust,"14,112",1,"17911 VON KARMAN, SUITE 400",,IRVINE,CA,92614,8006787271,,,,,,,,,,,,,,
930243443,OREGON EDUCATION ASSOCIATION,,Taft-Hartley Trust,"13,903",1,6900 SW ATLANTA STREET BLDG 1,,TIGARD,OR,97223,5036843300,,,,,,,,,,,,,,
362857218,TRUSTEES OF SEIU LOCAL 1 & PARTICIPATING EMPLOYERS HEALTH TRUS,,Taft-Hartley Trust,"13,708",1,"111 EAST WACKER DRIVE, 17TH FLOOR",,CHICAGO,IL,60601,3122338800,,,,,,,,,,,,,,
910729677,WASHINGTON STATE COUNCIL OF FIRE FIGHTERS,,Taft-Hartley Trust,"13,682",1,1069 ADAMS ST SE,,OLYMPIA,WA,98501,3609433030,,,,,,,,,,,,,,
314446857,OHIO OPERATING ENGINEERS HEALTH AND WELFARE PLAN,,Taft-Hartley Trust,"13,558",1,C/O BOARD OF TRUSTEES,1180 DUBLIN ROAD,COLUMBUS,OH,43215,6144880708,,,,,,,,,,,,,,
26015031,NORTHERN NEW ENGLAND BENEFIT TRUST DBA ALLEGIANT CARE,,Taft-Hartley Trust,"13,186",1,BOARD OF TRUSTEES,P.O. BOX 4604,MANCHESTER,NH,3108,6036694771,,,,,,,,,,,,,,
366562520,BOARD OF TRUSTEES OF THE NATIONAL I.A.M. BENEFIT TRUST FUND,TRUST FUND,Taft-Hartley Trust,"13,166",1,"1300 CONNECTICUT AVENUE, NW",SUITE 600,WASHINGTON,DC,20036,2027858148,,,,,,,,,,,,,,
200360007,ESSENTIA HEALTH,,Taft-Hartley Trust,"13,100",1,502 EAST 2ND ST,,DULUTH,MN,55805,2187868376,,,,,,,,,,,,,,
370738564,BOARD OF TRUSTEES OF THE NECA-IBEW WELFARE TRUST FUND,,Taft-Hartley Trust,"13,054",1,2120 HUBBARD AVENUE,,DECATUR,IL,62526,2178750254,,,,,,,,,,,,,,
450593187,JOINT BOARD OF TRUSTEES OHIO CARPENTERS' HEALTH FUND,,Taft-Hartley Trust,"13,043",1,"700 TOWER DRIVE, SUITE 300",,TROY,MI,48098,2488139800,,,,,,,,,,,,,,
226137317,TRUSTEES LOCAL 1262 AND SHOPRITE WELFARE FUND,,Taft-Hartley Trust,"13,005",1,1389 BROAD STREET,,CLIFTON,NJ,7013,9737785800,,,,,,,,,,,,,,
416187750,BOARD OF TRUSTEES OF MINNESOTA LABORERS HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"12,920",1,"2520 PILOT KNOB ROAD, SUITE 325",,MENDOTA HEIGHTS,MN,55120,6512561900,,,,,,,,,,,,,,
237404790,"BOARD OF TRUSTEES, GENERAL EMPLOYEES TRUST FUND",,Taft-Hartley Trust,"12,907",1,1000 MARINA BLVD STE 400,,BRISBANE,CA,94005,6505707300,,,,,,,,,,,,,,
113805565,88 BOARD,,Taft-Hartley Trust,"12,857",1,"200 ST. PAUL STREET, SUITE 2420",,BALTIMORE,MD,21202,8006383186,,,,,,,,,,,,,,
