ein,organization_name,dba_name,entity_type,total_participants,plan_count,mail_us_address1,mail_us_address2,mail_us_city,mail_us_state,mail_us_zip,phone_number,website_domain,Chief Executive Officer/CEO,Chief Financial Officer/CFO,President,Vice President/VP,Secretary Treasurer,Treasurer,Executive Vice President,Executive Director,Director of Finance,Chief Counsel,Deputy Chief Counsel,President & CEO,email_domain,scrape_status,scrape_date,scrape_attempts,last_scrape_error,data_quality_score,executives_found,linkedin_profile_url,company_website_verified,data_source,last_updated,General Counsel,Fund Administrator,Administrator,Assistant Administrator,Benefits Administrator,Plan Administrator,Trust Administrator,Chief Operating Officer/COO,Chief Technology Officer/CTO,Chief Information Officer/CIO,Chief Human Resources Officer/CHRO,Chief Marketing Officer/CMO,Chief Legal Officer/CLO,Managing Director,Executive Secretary,Assistant Secretary,Assistant Treasurer,Controller,Benefits Manager,HR Director,Operations Director,IT Director,Communications Director,Board Chair,Board Secretary,Trustee Chair,Union President,Union Secretary-Treasurer,Business Manager,local_union_number,parent_union,phone_number_cleaned,website_domain_cleaned,email_domain_cleaned,data_completeness_score
237385560,TRUSTEES OF UNITE HERE HEALTH,,Taft-Hartley Trust,"110,746",1,711 N COMMONS DRIVE,,AURORA,IL,60504.0,6302365100,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNITE HERE,(630) 236-5100,,,84.44
135598093,TRUSTEES OF COLUMBIA UNIVERSITY C/O BENEFITS DEPARTMENT,,Taft-Hartley Trust,"82,211",4,615 WEST 131ST STREET,MC 8705,NEW YORK,NY,10027.0,2128517000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(212) 851-7000,,,84.44
956042583,"BOARD OF DIRECTORS, MOTION PICTURE INDUSTRY HEALTH",PLAN,Taft-Hartley Trust,"79,620",1,11365 VENTURA BLVD,,STUDIO CITY,CA,91604.0,8187690007,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(818) 769-0007,,,84.44
111823976,BOARD OF TRUSTEES OF THE UNITED WELFARE FUND,,Taft-Hartley Trust,"74,993",1,138-50 QUEENS BOULEVARD,,BRIARWOOD,NY,11435.0,7186584848,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(718) 658-4848,,,84.44
946001323,UNION PACIFIC RAILROAD COMPANY,,Taft-Hartley Trust,"74,676",2,1400 DOUGLAS STREET STOP 1620,,OMAHA,NE,68179.0,4025445000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(402) 544-5000,,,84.44
521588740,PENNSYLVANIA EMPLOYEES BENEFIT TRUST FUND,,Taft-Hartley Trust,"71,749",1,150 S 43RD ST STE 1,,HARRISBURG,PA,17111.0,7175614750,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(717) 561-4750,,,84.44
231352685,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,Taft-Hartley Trust,"71,445",4,3600 CIVIC CENTER BLVD STE 400,,PHILADELPHIA,PA,19104.0,2156152623,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(215) 615-2623,,,84.44
366066988,BOARD OF TRUSTEES OF LINE CONSTRUCTION BENEFIT FUND,,Taft-Hartley Trust,"66,035",1,821 PARKVIEW BOULEVARD,,LOMBARD,IL,60148.0,8003237268,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(800) 323-7268,,,84.44
520595110,JOHNS HOPKINS UNIVERSITY,,Taft-Hartley Trust,"64,680",15,OFFICE OF BENEFITS SERVICES,"1101 E. 33RD STREET, SUITE C-020",BALTIMORE,MD,21218.0,4105162000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(410) 516-2000,,,84.44
952301788,UNITED FOOD & COMMERCIAL WORKERS UNIONS & FOOD EMPLOYERS BENEFIT FUND,UNIONS AND FOOD EMPLOYERS BENEFIT,Taft-Hartley Trust,"60,815",1,6425 KATELLA AVE,,CYPRESS,CA,90630.0,7142202297,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(714) 220-2297,,,84.44
611088522,AECOM,,Taft-Hartley Trust,"59,117",2,300 SOUTH GRAND AVENUE,2ND FLOOR,LOS ANGELES,CA,90071.0,2083865000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(208) 386-5000,,,84.44
382069753,BLUE CROSS BLUE SHIELD OF MICHIGAN,,Taft-Hartley Trust,"56,745",11,600 LAFAYETTE EAST,MAIL CODE 1801,DETROIT,MI,48226.0,3132259000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(313) 225-9000,,,84.44
866052021,TEAMSTERS WESTERN REGION AND NEW JERSEY HEALTH CARE FUND,,Taft-Hartley Trust,"56,574",2,"2550 W. UNION HILLS DRIVE, STE 290",,PHOENIX,AZ,85027.0,8552152039,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Brotherhood of Teamsters,(855) 215-2039,,,84.44
250542520,KRAFT HEINZ FOODS COMPANY,,Taft-Hartley Trust,"53,310",2,"200 E RANDOLPH, SUITE 7600",,CHICAGO,IL,60601.0,8476462000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Federation of Teachers,(847) 646-2000,,,84.44
316173363,BOARD OF TRUSTEES OF THE HEARTLAND HEALTH AND WELLNESS FUND,,Taft-Hartley Trust,"49,653",1,"7250 POE AVENUE, SUITE 300",,DAYTON,OH,45414.0,9376651900,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(937) 665-1900,,,84.44
946078804,UFCW & EMPLOYER BENEFIT TRUST,,Taft-Hartley Trust,"46,701",2,1000 BURNETT AVE SUITE 110,,CONCORD,CA,94520.0,9257467530,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Food and Commercial Workers,(925) 746-7530,,,84.44
274411485,BD OF TRUSTEE-AMALGAMATED NATIONAL HEALTH FUND,,Taft-Hartley Trust,"44,471",1,333 WESTCHESTER AVENUE,,WHITE PLAINS,NY,10604.0,9143675000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(914) 367-5000,,,84.44
60646973,YALE UNIVERSITY,,Taft-Hartley Trust,"43,871",2,221 WHITNEY AVENUE,,NEW HAVEN,CT,6511.0,2034325552,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(203) 432-5552,,,84.44
952110997,"BOARD OF TRUSTEES, SAG-AFTRA HEALTH PLAN",,Taft-Hartley Trust,"43,213",1,3601 WEST OLIVE AVENUE,SUITE 200,BURBANK,CA,91505.0,8189549400,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Federation of Teachers,(818) 954-9400,,,84.44
206673883,BOARD OF TRUSTEES OF LUCENT SUPPLEMENTAL BENEFITS TRUST FOR FORMERLY R,,Taft-Hartley Trust,"40,749",1,"600 MOUNTAIN AVENUE, ROOM 2A-352",ATTN ARTO SIRVIO,MURRAY HILL,NJ,7974.0,9085821342,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(908) 582-1342,,,84.44
916058475,"BOARD OF TRUSTEES, SOUND HEALTH & WELLNESS TRUST",,Taft-Hartley Trust,"40,419",1,"11724 NE 195TH STREET, SUITE 300",,BOTHELL,WA,98011.0,2062824100,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(206) 282-4100,,,84.44
10479776,MAINE EDUCATION ASSOCIATION BENEFITS TRUST,,Taft-Hartley Trust,"39,342",1,35 COMMUNITY DRIVE,,AUGUSTA,ME,4330.0,2076225866,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(207) 622-5866,,,84.44
562489386,BOARD OF TRUSTEES OF THE HEALTH REIMB ACCT FUND OF THE ELEC IND,,Taft-Hartley Trust,"39,060",1,158-11 HARRY VAN ARSDALE JR. AVENUE,,FLUSHING,NY,11365.0,7185912000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(718) 591-2000,,,84.44
232790911,NATIONAL ELEVATOR INDUSTRY HEALTH BENEFIT PLAN BOARD OF TRUSTEES,,Taft-Hartley Trust,"38,629",1,"19 CAMPUS BLVD, SUITE 200",,NEWTOWN SQUARE,PA,19073.0,8005234702,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(800) 523-4702,,,84.44
466029223,SSM HEALTH CARE,,Taft-Hartley Trust,"37,269",2,10101 WOODFIELD LANE,,ST. LOUIS,MO,63132.0,3149947800,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(314) 994-7800,,,84.44
753198514,BOARD OF TRUSTEES OF NECA/IBEW FAMILY MEDICAL CARE TRUST FUND,,Taft-Hartley Trust,"37,081",1,"2400 RESEARCH BOULEVARD, SUITE 500",,ROCKVILLE,MD,20850.0,3015564300,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Brotherhood of Electrical Workers,(301) 556-4300,,,84.44
237333434,BOARD OF TRUSTEES I.A.T.S.E. NATIONAL HEALTH & WELFARE FUND,,Taft-Hartley Trust,"36,275",1,"417 FIFTH AVENUE, 3RD FLOOR",,NEW YORK,NY,10016.0,2125809092,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(212) 580-9092,,,84.44
135562308,NEW YORK UNIVERSITY,,Taft-Hartley Trust,"35,656",4,105 E. 17TH STREET,4TH FLOOR HUMAN RESOURCES,NEW YORK,NY,10003.0,2129925465,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(212) 992-5465,,,84.44
133968546,MANAGEMENT-ILA MANAGED HEALTH,,Taft-Hartley Trust,"34,594",1,111 BROADWAY - 5TH FLOOR,,NEW YORK,NY,10006.0,2127665700,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(212) 766-5700,,,84.44
956042873,"JOINT BOARD OF TRUSTEES, SOUTHWEST CARPENTERS HEALTH AND WELFARE TRUST",,Taft-Hartley Trust,"33,925",1,533 SOUTH FREMONT AVENUE,,LOS ANGELES,CA,90071.0,2133868590,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(213) 386-8590,,,84.44
956832043,"BOARD OF TRUSTEES, ENTERTAINMENT INDUSTRY FLEX PLAN",,Taft-Hartley Trust,"33,765",1,844 SEWARD ST,,LOS ANGELES,CA,90038.0,3239938810,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(323) 993-8810,,,84.44
222405279,RWJBARNABAS HEALTH,,Taft-Hartley Trust,"32,021",2,379 CAMPUS DRIVE,,SOMERSET,NJ,8873.0,9733224400,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(973) 322-4400,,,84.44
136126923,BOARD OF TRUSTEES NEW YORK HOTEL TRADES COUNCIL &,"HOTEL ASSOCIATION OF NEW YORK CITY, INC.",Taft-Hartley Trust,"31,266",1,305 WEST 44TH STREET,,NEW YORK,NY,10036.0,2125866400,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(212) 586-6400,,,84.44
130891045,"BD OF TR OF THE PENSION, HOSP & BENEFIT PL OF THE ELEC IND-WELFARE",,Taft-Hartley Trust,"29,837",1,158-11 HARRY VAN ARSDALE JR. AVENUE,,FLUSHING,NY,11365.0,7185912000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(718) 591-2000,,,84.44
941234856,CARPENTERS HEALTH AND WELFARE TRUST FUND FOR NORTHERN CALIFORNIA,,Taft-Hartley Trust,"29,683",1,265 HEGENBERGER ROAD,,OAKLAND,CA,94621.0,5106330333,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(510) 633-0333,,,84.44
134129368,BOARD OF TRUSTEES OF 1199SEIU NATL BENEFIT FND FOR HOME CARE EMPLOYEE,,Taft-Hartley Trust,"29,578",1,P.O. BOX 842,,NEW YORK,NY,10108.0,6464736336,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Service Employees International Union,(646) 473-6336,,,84.44
941235152,BOARD OF TRUSTEES LABORERS HEALTH,WELFARE TRUST FUND NOR. CAL.,Taft-Hartley Trust,"28,738",1,220 CAMPUS LANE,,FAIRFIELD,CA,94534.0,7078642800,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(707) 864-2800,,,84.44
940304228,"MUFG UNION BANK, N.A.",,Taft-Hartley Trust,"28,370",2,1251 AVENUE OF THE AMERICAS,43RD FLOOR,NEW YORK,NY,10020.0,2127824698,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(212) 782-4698,,,84.44
363261413,ALLINA HEALTH SYSTEM,,Taft-Hartley Trust,"27,976",1,PO BOX 1469,,MINNEAPOLIS,MN,55440.0,6122624688,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(612) 262-4688,,,84.44
942356343,"BOARD OF TRUSTEES, HEALTH CARE EMPLOYEES/EMPLOYER",DENTAL AND MEDICAL TRUST,Taft-Hartley Trust,"27,360",1,"6200 VILLAGE PARKWAY, 2ND FLR",,DUBLIN,CA,94568.0,9258031880,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(925) 803-1880,,,84.44
530227042,"JOINT BOARD OF TRUSTEES, BAKERY & CONFECTIONERY UNION & INDUSTRY",INTERNATIONAL HEALTH BENEFITS FUND,Taft-Hartley Trust,"27,294",1,10401 CONNECTICUT AVENUE,,KENSINGTON,MD,20895.0,3014683750,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(301) 468-3750,,,84.44
232164794,GEISINGER SYSTEM SERVICES,,Taft-Hartley Trust,"27,064",1,"100 N ACADEMY AVE, MC 49-70",,DANVILLE,PA,17822.0,5702716640,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(570) 271-6640,,,84.44
521036457,TRUSTEES OF NAT'L STABILIZATION AGREEMENT OF THE SHEET METAL INDSTRY T,,Taft-Hartley Trust,"26,943",2,"8403 ARLINGTON BLVD., SUITE 310",,FAIRFAX,VA,22031.0,7037397250,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(703) 739-7250,,,84.44
236411794,G.M.P.-EMPLOYERS RETIREE TRUST,,Taft-Hartley Trust,"26,921",1,"5245 BIG PINE WAY, S.E.",,FORT MYERS,FL,33907.0,2399366242,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(239) 936-6242,,,84.44
346726788,OHIO AFSCME CARE PLAN,,Taft-Hartley Trust,"26,595",1,1603 EAST 27TH STREET,,CLEVELAND,OH,44114.0,2167816420,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American Federation of State, County and Municipal Employees",(216) 781-6420,,,84.44
946068578,TRUSTEES OF ILWU-PMA WELFARE PLAN,,Taft-Hartley Trust,"25,810",1,"1188 FRANKLIN STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94109.0,4156738500,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(415) 673-8500,,,84.44
530116705,NAVY FEDERAL CREDIT UNION,,Taft-Hartley Trust,"24,456",2,P.O. BOX 3400 820 FOLLIN LANE,PO BOX 3400,MERRIFIELD,VA,22119.0,7032063276,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(703) 206-3276,,,84.44
66069081,TRUSTEES AMALGAMATED WELFARE TRUST FUND LOCAL 371,,Taft-Hartley Trust,"23,972",1,"290 POST ROAD WEST, P.O. BOX 470",,WESTPORT,CT,68810.0,2032264751,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,(203) 226-4751,,,84.44
201842198,SEIU HEALTHCARE NW HEALTH BENEFITS TRUST,BENEFITS TRUST,Taft-Hartley Trust,"23,729",1,215 COLUMBIA ST.,SUITE 300,SEATTLE,WA,98104.0,4257717359,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Service Employees International Union,(425) 771-7359,,,84.44
916034673,"BOARD OF TRUSTEES, WASHINGTON TEAMSTERS WELFARE TRUST",,Taft-Hartley Trust,"23,639",1,2323 EASTLAKE AVE E,,SEATTLE,WA,98102.0,2063294900,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Brotherhood of Teamsters,(206) 329-4900,,,84.44
516146048,"BOARD OF TRUSTEES, LABORERS HEALTH AND WELFARE TRUST",FUND FOR SOUTHERN CALIFORNIA,Taft-Hartley Trust,"23,530",1,4399 SANTA ANITA AVE STE 200,,EL MONTE,CA,91731.0,6262793000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(626) 279-3000,,,84.44
135673101,"NEW YORK CITY DISTRICT COUNCIL 37, AFSCME, AFL-CIO",,Taft-Hartley Trust,"23,404",1,125 BARCLAY STREET,,NEW YORK,NY,10007.0,2128151427,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American Federation of State, County and Municipal Employees",(212) 815-1427,,,84.44
136125570,BOARD OF TRUSTEES OF 1199SEIU GREATER NEW YORK BENEFIT FUND,,Taft-Hartley Trust,"22,997",1,P.O. BOX 842,,NEW YORK,NY,10108.0,6464736336,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Service Employees International Union,(646) 473-6336,,,84.44
521888497,"BOARD OF TRUSTEES, UNITED MINE WORK ERS OF AMERICA 1993 BENEFIT PLAN",,Taft-Hartley Trust,"22,981",1,2121 K STREET N.W.,SUITE 350,WASHINGTON,DC,20037.0,2025212200,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(202) 521-2200,,,84.44
581283466,BOARD OF TRUSTEES UFCW UNIONS & EMPLOYERS HEALTH & WELFARE FUND,,Taft-Hartley Trust,"22,130",1,1740 PHOENIX PKWY,,ATLANTA,GA,30349.0,7709979910,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Food and Commercial Workers,(770) 997-9910,,,84.44
46374357,BOARD OF TRUSTEES NEW ENGLAND CARPENTERS HEALTH BENEFITS FUND,,Taft-Hartley Trust,"21,854",1,350 FORDHAM ROAD,,WILMINGTON,MA,1887.0,9786941000,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(978) 694-1000,,,84.44
521036399,NATIONAL CARRIERS' CONFERENCE COMMITTEE,,Taft-Hartley Trust,"21,798",2,"251 - 18TH STREET, SOUTH, SUITE 750",,ARLINGTON,VA,22202.0,5713367600,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(571) 336-7600,,,84.44
